dataset,throughput,memory_consumption,search_type,lookup_latency,density,,,,,
books,1959615,8062818008,exponential,23241279,0.2,,,,,
books,1075088,8062818008,bin,63392178,0.2,,,,,
books,910002,8062818008,bbin,82153497,0.2,,,,,
books,876381,8062818008,mb_bbin,86336780,0.2,,,,,
books,1858682,8062818008,ex_mb_bbin,25159228,0.2,,,,,
books,11733,8062818008,slin,8478396993,0.2,,,,,
books,1727541,8062818008,mb_slin,29366866,0.2,,,,,
books,2018169,8062818008,ex_mb_slin,19964179,0.2,,,,,
books,2000687,5375183200,exponential,22845544,0.3,,,,,
books,1135891,5375183200,bin,59818398,0.3,,,,,
books,956775,5375183200,bbin,78069250,0.3,,,,,
books,878500,5375183200,mb_bbin,86988956,0.3,,,,,
books,1928854,5375183200,ex_mb_bbin,24229171,0.3,,,,,
books,10078,5375183200,slin,9878726665,0.3,,,,,
books,1766648,5375183200,mb_slin,29049352,0.3,,,,,
books,2066450,5375183200,ex_mb_slin,19661982,0.3,,,,,
books,1976542,4031432320,exponential,22618441,0.4,,,,,
books,1149186,4031432320,bin,57929595,0.4,,,,,
books,984088,4031432320,bbin,73812250,0.4,,,,,
books,877503,4031432320,mb_bbin,86023845,0.4,,,,,
books,1903342,4031432320,ex_mb_bbin,23570695,0.4,,,,,
books,12610,4031432320,slin,7884819867,0.4,,,,,
books,1743190,4031432320,mb_slin,28850488,0.4,,,,,
books,2024370,4031432320,ex_mb_slin,19626010,0.4,,,,,
books,1927646,3225172664,exponential,22565035,0.5,,,,,
books,1167794,3225172664,bin,55609831,0.5,,,,,
books,987861,3225172664,bbin,72305000,0.5,,,,,
books,859962,3225172664,mb_bbin,87333805,0.5,,,,,
books,1884738,3225172664,ex_mb_bbin,23123315,0.5,,,,,
books,11496,3225172664,slin,8649678242,0.5,,,,,
books,1720593,3225172664,mb_slin,28399729,0.5,,,,,
books,1983285,3225172664,ex_mb_slin,19535220,0.5,,,,,
books,1895054,2687670560,exponential,22531843,0.6,,,,,
books,1154524,2687670560,bin,54987328,0.6,,,,,
books,1004071,2687670560,bbin,69455197,0.6,,,,,
books,857969,2687670560,mb_bbin,86436561,0.6,,,,,
books,1858393,2687670560,ex_mb_bbin,22572711,0.6,,,,,
books,13777,2687670560,slin,7208952332,0.6,,,,,
books,1696847,2687670560,mb_slin,28069602,0.6,,,,,
books,1919655,2687670560,ex_mb_slin,19821759,0.6,,,,,
books,1842712,2303886464,exponential,22788456,0.7,,,,,
books,1794435,2303886464,exponential,23388649,0.7,,,,,
books,1146472,2303886464,bin,54052920,0.7,,,,,
books,1055592,2303886464,bbin,63002819,0.7,,,,,
books,882973,2303886464,mb_bbin,81293499,0.7,,,,,
books,1840578,2303886464,ex_mb_bbin,22350993,0.7,,,,,
books,26628,2303886464,slin,3705670596,0.7,,,,,
books,1627561,2303886464,mb_slin,28772456,0.7,,,,,
books,1860374,2303886464,ex_mb_slin,20959359,0.7,,,,,
fb,868081,8090853768,exponential,37443741,0.2,,,,,
fb,694496,8090853768,bin,64187984,0.2,,,,,
fb,624022,8090853768,bbin,82224953,0.2,,,,,
fb,603175,8090853768,mb_bbin,87130378,0.2,,,,,
fb,883533,8090853768,ex_mb_bbin,33547339,0.2,,,,,
fb,19814,8090853768,slin,4947364089,0.2,,,,,
fb,820584,8090853768,mb_slin,42144542,0.2,,,,,
fb,842253,8090853768,ex_mb_slin,38302430,0.2,,,,,
fb,230594,5472499080,exponential,41401124,0.3,,,,,
fb,221684,5472499080,bin,60383382,0.3,,,,,
fb,215425,5472499080,bbin,75554830,0.3,,,,,
fb,213856,5472499080,mb_bbin,75263003,0.3,,,,,
fb,234133,5472499080,ex_mb_bbin,36437276,0.3,,,,,
fb,52611,5472499080,slin,1492718379,0.3,,,,,
fb,227103,5472499080,mb_slin,45604473,0.3,,,,,
fb,227692,5472499080,ex_mb_slin,43812254,0.3,,,,,
fb,30682,4338185336,exponential,42843269,0.4,,,,,
fb,30454,4338185336,bin,60186612,0.4,,,,,
fb,30490,4338185336,bbin,75362561,0.4,,,,,
fb,30315,4338185336,mb_bbin,74907726,0.4,,,,,
fb,30815,4338185336,ex_mb_bbin,38142807,0.4,,,,,
fb,20504,4338185336,slin,1616342141,0.4,,,,,
fb,30584,4338185336,mb_slin,47640573,0.4,,,,,
fb,30543,4338185336,ex_mb_slin,45511833,0.4,,,,,
fb,14815,3374699984,exponential,45820635,0.5,,,,,
fb,14697,3374699984,bin,57475859,0.5,,,,,
fb,14816,3374699984,bbin,69207610,0.5,,,,,
fb,14786,3374699984,mb_bbin,68123960,0.5,,,,,
fb,14845,3374699984,ex_mb_bbin,41077226,0.5,,,,,
fb,14361,3374699984,slin,167726529,0.5,,,,,
fb,14695,3374699984,mb_slin,52176173,0.5,,,,,
fb,14596,3374699984,ex_mb_slin,52036397,0.5,,,,,
fb,18446,2783896744,exponential,46157157,0.6,,,,,
fb,18350,2783896744,bin,55239619,0.6,,,,,
fb,18474,2783896744,bbin,65134974,0.6,,,,,
fb,18357,2783896744,mb_bbin,64138466,0.6,,,,,
fb,18360,2783896744,ex_mb_bbin,42882712,0.6,,,,,
fb,17937,2783896744,slin,95670257,0.6,,,,,
fb,18099,2783896744,mb_slin,52252600,0.6,,,,,
fb,18102,2783896744,ex_mb_slin,52880127,0.6,,,,,
fb,7602,2431514792,exponential,53808438,0.7,,,,,
fb,7650,2431514792,bin,63124833,0.7,,,,,
fb,7691,2431514792,bbin,71444545,0.7,,,,,
fb,7599,2431514792,mb_bbin,69915147,0.7,,,,,
fb,7667,2431514792,ex_mb_bbin,47782549,0.7,,,,,
fb,7527,2431514792,slin,121559247,0.7,,,,,
fb,7559,2431514792,mb_slin,61643810,0.7,,,,,
fb,7558,2431514792,ex_mb_slin,62352144,0.7,,,,,
osm,268178,8196200552,exponential,36832816,0.2,,,,,
osm,247903,8196200552,bin,64392717,0.2,,,,,
osm,237673,8196200552,bbin,81081295,0.2,,,,,
osm,241624,8196200552,mb_bbin,76288989,0.2,,,,,
osm,267382,8196200552,ex_mb_bbin,36637396,0.2,,,,,
osm,105289,8196200552,slin,596188186,0.2,,,,,
osm,257997,8196200552,mb_slin,43511818,0.2,,,,,
osm,264136,8196200552,ex_mb_slin,36364141,0.2,,,,,
osm,242449,5450868024,exponential,37275413,0.3,,,,,
osm,230074,5450868024,bin,58249223,0.3,,,,,
osm,225173,5450868024,bbin,72415209,0.3,,,,,
osm,224639,5450868024,mb_bbin,69580821,0.3,,,,,
osm,244279,5450868024,ex_mb_bbin,36407912,0.3,,,,,
osm,151515,5450868024,slin,270458709,0.3,,,,,
osm,231935,5450868024,mb_slin,44325993,0.3,,,,,
osm,234986,5450868024,ex_mb_slin,39002796,0.3,,,,,
osm,220946,4094604352,exponential,37763505,0.4,,,,,
osm,209810,4094604352,bin,55896406,0.4,,,,,
osm,206585,4094604352,bbin,68464748,0.4,,,,,
osm,205315,4094604352,mb_bbin,67000808,0.4,,,,,
osm,220669,4094604352,ex_mb_bbin,36791988,0.4,,,,,
osm,166121,4094604352,slin,169471061,0.4,,,,,
osm,210853,4094604352,mb_slin,44567886,0.4,,,,,
osm,212564,4094604352,ex_mb_slin,41039796,0.4,,,,,
osm,211016,3285781888,exponential,38375884,0.5,,,,,
osm,204702,3285781888,bin,53768942,0.5,,,,,
osm,200102,3285781888,bbin,65228487,0.5,,,,,
osm,201121,3285781888,mb_bbin,62940108,0.5,,,,,
osm,214030,3285781888,ex_mb_bbin,36635679,0.5,,,,,
osm,175926,3285781888,slin,117943309,0.5,,,,,
osm,203650,3285781888,mb_slin,44631938,0.5,,,,,
osm,204905,3285781888,ex_mb_slin,42109244,0.5,,,,,
osm,212413,2749564824,exponential,38904066,0.6,,,,,
osm,205696,2749564824,bin,52475117,0.6,,,,,
osm,202093,2749564824,bbin,63903767,0.6,,,,,
osm,202198,2749564824,mb_bbin,60936581,0.6,,,,,
osm,214205,2749564824,ex_mb_bbin,37083978,0.6,,,,,
osm,184839,2749564824,slin,91727571,0.6,,,,,
osm,203386,2749564824,mb_slin,45194141,0.6,,,,,
osm,204845,2749564824,ex_mb_slin,42766515,0.6,,,,,
osm,293346,2370087864,exponential,38096942,0.7,,,,,
osm,281107,2370087864,bin,49646016,0.7,,,,,
osm,277209,2370087864,bbin,58599518,0.7,,,,,
osm,278419,2370087864,mb_bbin,56826579,0.7,,,,,
osm,286895,2370087864,ex_mb_bbin,36094042,0.7,,,,,
osm,258076,2370087864,slin,67974876,0.7,,,,,
osm,276385,2370087864,mb_slin,43432827,0.7,,,,,
osm,277122,2370087864,ex_mb_slin,42589615,0.7,,,,,
wiki,2261695,3645897896,exponential,21041009,0.2,,,,,
wiki,1225859,3645897896,bin,57005393,0.2,,,,,
wiki,980061,3645897896,bbin,78791963,0.2,,,,,
wiki,1060559,3645897896,mb_bbin,71072317,0.2,,,,,
wiki,2104777,3645897896,ex_mb_bbin,23379622,0.2,,,,,
wiki,9293,3645897896,slin,10719467440,0.2,,,,,
wiki,1943115,3645897896,mb_slin,27166632,0.2,,,,,
wiki,2243340,3645897896,ex_mb_slin,18972315,0.2,,,,,
wiki,2419359,2430658600,exponential,19958037,0.3,,,,,
wiki,1317437,2430658600,bin,53248482,0.3,,,,,
wiki,1178271,2430658600,bbin,63124349,0.3,,,,,
wiki,1267825,2430658600,mb_bbin,57419832,0.3,,,,,
wiki,2226002,2430658600,ex_mb_bbin,22441673,0.3,,,,,
wiki,13975,2430658600,slin,7117507488,0.3,,,,,
wiki,2058103,2430658600,mb_slin,26036494,0.3,,,,,
wiki,2399538,2430658600,ex_mb_slin,18100820,0.3,,,,,
wiki,2480354,1823042064,exponential,19354453,0.4,,,,,
wiki,1359311,1823042064,bin,51072775,0.4,,,,,
wiki,1131262,1823042064,bbin,67606641,0.4,,,,,
wiki,1191598,1823042064,mb_bbin,63137525,0.4,,,,,
wiki,2321403,1823042064,ex_mb_bbin,21479554,0.4,,,,,
wiki,15344,1823042064,slin,6478987801,0.4,,,,,
wiki,2145337,1823042064,mb_slin,25043926,0.4,,,,,
wiki,2467590,1823042064,ex_mb_slin,17614393,0.4,,,,,
wiki,1883799,1459456584,exponential,19523096,0.5,,,,,
wiki,1187695,1459456584,bin,49276366,0.5,,,,,
wiki,1062432,1459456584,bbin,60902039,0.5,,,,,
wiki,1045107,1459456584,mb_bbin,62427478,0.5,,,,,
